DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,YEAR,DAY,DAY_OF_WEEK,MONTH,assault,drug-alcohol,murder,other-crimes,public-disorder,theft,traffic-accident,white-collar-crime,Time Interval
5,521,44,1,0,2016,15,2,6,0,0,0,1,0,0,0,0,1
5,522,27,1,0,2017,11,2,10,0,0,0,0,0,1,0,0,0
3,314,72,1,0,2016,4,4,3,0,0,0,0,0,1,0,0,0
3,312,6,1,0,2018,30,1,1,0,0,0,0,0,1,0,0,0
3,311,12,1,0,2017,22,3,6,0,0,0,0,0,1,0,0,0
6,622,14,1,0,2018,31,2,1,0,0,0,1,0,0,0,0,1
1,122,67,1,0,2017,1,3,6,0,0,0,0,0,1,0,0,0
3,311,58,1,0,2018,30,1,1,0,0,0,1,0,0,0,0,1
6,611,15,0,1,2018,30,1,1,0,0,0,0,0,0,1,0,0
1,113,35,1,0,2018,31,2,1,0,0,0,0,0,1,0,0,1
3,323,29,1,0,2018,30,1,1,0,1,0,0,0,0,0,0,0
4,422,53,1,0,2018,28,6,1,0,0,0,0,0,1,0,0,1
3,312,20,1,0,2016,31,1,5,0,0,0,0,0,1,0,0,0
1,121,38,1,0,2017,24,4,2,0,0,0,0,0,1,0,0,0
3,321,77,1,0,2016,16,5,4,0,0,0,0,0,1,0,0,0
1,113,35,1,0,2017,28,6,5,0,0,0,0,0,1,0,0,1
3,323,29,1,0,2017,16,4,6,0,0,0,0,0,1,0,0,1
1,123,40,1,0,2018,29,0,1,0,0,0,1,0,0,0,0,0
3,312,70,1,0,2018,4,3,1,0,0,0,0,0,0,0,1,0
5,511,59,0,1,2018,30,1,1,0,0,0,0,0,0,1,0,0
5,512,59,1,0,2018,30,1,1,0,0,0,1,0,0,0,0,0
3,321,41,0,1,2018,29,0,1,0,0,0,0,0,0,1,0,0
2,211,25,0,1,2018,30,1,1,0,0,0,0,0,0,1,0,0
2,212,24,1,0,2018,30,1,1,0,0,0,1,0,0,0,0,0
3,323,29,1,0,2018,29,0,1,0,0,0,0,0,1,0,0,1
3,324,32,1,0,2017,30,0,10,0,0,0,0,0,0,0,1,0
7,759,22,1,0,2018,30,1,1,0,0,0,0,1,0,0,0,0
3,313,50,1,0,2018,30,1,1,0,0,0,1,0,0,0,0,0
1,122,73,1,0,2017,6,5,5,0,0,0,0,0,1,0,0,1
5,511,59,1,0,2016,12,6,6,0,0,0,1,0,0,0,0,0
4,423,34,1,0,2018,30,1,1,0,0,0,0,0,1,0,0,0
3,311,2,1,0,2016,18,2,5,0,0,0,0,0,1,0,0,0
6,622,11,1,0,2018,18,3,1,0,0,0,0,0,1,0,0,0
7,759,22,1,0,2018,29,0,1,0,0,0,0,0,1,0,0,1
